,0diff,50diff,100diff,-50diff,-100diff
0,1.6016846,0.079589844,-3.7072754,-2.829834,6.2230225
1,1.3060913,-2.2146606,-1.4108276,1.8599854,6.147278
2,0.7199707,-0.06982422,-2.5575867,5.279114,5.3518677
3,0.52630615,0.9834595,-2.7763672,4.6098022,4.820923
4,1.0924072,-2.123169,3.6360168,3.4246826,4.6187134
5,-0.66503906,0.5203247,3.3944092,1.751709,4.7073975
6,2.0015259,-0.6999512,1.0172119,0.6047363,4.2697144
7,5.3708496,-0.9906616,2.5167236,3.2994385,0.67974854
8,1.1719971,0.91363525,3.557129,2.5913696,-1.5527344
9,0.15216064,2.2905273,2.369873,-0.122924805,2.1195679
10,0.5472412,2.1832275,-1.7780762,1.8707886,3.8822021
11,4.4639893,-1.1514282,-0.41204834,4.3812256,1.5432739
12,5.074829,-1.4551392,3.6062622,2.9760132,2.4525146
13,1.4389038,0.78686523,2.1478271,1.274353,1.1276245
14,2.7441406,-0.044799805,0.98791504,5.6019287,-0.035339355
15,1.2739258,-0.9022827,1.5443726,2.6227417,2.8945312
16,0.3885498,2.2039185,1.0204468,-1.4995117,1.9291382
17,0.57788086,1.1092529,0.80792236,-0.14031982,-0.4557495
18,-0.46557617,-0.74468994,0.7675781,0.91674805,-1.8482666
19,0.35198975,-0.5084839,-1.7192993,1.2952881,0.09698486
20,0.86291504,-0.6881714,-0.40948486,-0.004333496,1.5979614
21,-0.32507324,-0.12561035,0.77679443,0.2388916,1.017395
22,-0.35217285,-1.9214478,-2.2157593,1.3985596,0.030456543
23,-1.6521606,-3.6557312,-4.7686768,-0.1296997,0.12774658
24,-2.8162231,-3.3306885,-6.2807007,0.050476074,-0.586792
25,-2.5610352,-3.0960388,-7.233246,0.014465332,-1.3295288
26,-3.637085,-4.6954346,-10.5503235,-1.2874756,-0.8380127
27,-4.507202,-7.1922607,-11.910004,-0.45324707,-2.0083008
28,-5.682068,-7.4892273,-11.662872,-1.9581299,-2.7208862
29,-5.421509,-7.270874,-12.5928955,-3.1748657,0.79907227
30,-4.427429,-7.406372,-12.435944,-2.3621826,-0.7369995
31,-4.4973755,-8.997223,-12.608093,-1.9921265,-2.4302979
32,-8.577087,-12.031555,-13.759186,-2.7564697,-6.9019165
33,-13.714294,-15.188568,-15.108765,-6.1070557,-10.823486
34,-15.688477,-16.579956,-13.120117,-3.7227783,-13.018616
35,-17.282806,-15.018646,-10.80603,-2.3535767,-2.3135376
36,-13.371399,-11.4010315,-10.142487,-5.882324,11.39624
37,-7.6904297,-7.3185425,-7.1143494,-4.433838,12.190674
38,0.10675049,-3.3415527,-1.5935669,-1.5675049,7.4084473
39,5.690094,0.5796814,0.8892517,0.7496338,1.4820557
40,8.032806,6.03244,3.0992432,5.857422,12.666992
41,12.971649,3.4544983,10.041046,4.430481,15.483887
42,20.55371,14.015228,27.540985,15.803345,13.430603
43,27.017609,22.524567,28.590485,12.854736,5.451355
44,33.192963,33.524353,40.06833,10.28894,2.6903076
45,2.375061,52.144287,13.119843,-2.9555664,-23.4021
46,-8.017822,25.173584,-2.977234,-14.43396,-44.31848
47,18.11145,-1.3985596,32.452393,4.51001,-31.295776
