,0mse,50mse,100mse,-50mse,-100mse
0,257.80127,257.7932,257.00128,258.33167,259.45184
1,258.2017,257.8131,256.07446,257.6242,261.0076
2,258.4543,256.68588,256.29587,259.26166,262.52548
3,258.56168,257.7782,254.79567,260.26376,263.68353
4,258.71747,257.1776,254.90768,261.56656,264.93594
5,259.10788,256.7166,256.61368,261.9761,265.9929
6,258.38495,257.43777,256.6049,262.4424,267.28964
7,260.10864,256.36664,257.12228,262.27847,268.12775
8,261.07037,256.94244,257.86325,264.09213,267.62952
9,260.69464,256.82346,258.90085,263.57416,267.35138
10,261.14645,258.0877,259.0482,264.03067,268.6893
11,260.96826,257.91507,258.0118,264.50955,269.29248
12,263.37845,257.512,258.84216,266.22128,269.46094
13,263.50568,257.1875,259.81494,265.99756,270.51874
14,264.0979,257.90543,259.91608,266.85846,270.02475
15,264.87775,257.1651,260.3089,268.79852,270.50107
16,264.73486,257.45428,260.68826,268.16983,271.47202
17,265.07202,258.26706,260.81912,268.04877,271.46564
18,265.0238,258.0089,261.09222,268.09967,271.24414
19,264.83923,257.8947,261.2029,268.50714,270.5415
20,265.1998,257.75467,260.23257,268.7473,271.29263
21,265.2707,257.55063,260.99817,268.50497,271.34048
22,265.03726,257.69186,260.62097,268.86676,271.80133
23,265.0946,256.5899,259.8903,269.20425,271.3557
24,264.21118,255.864,258.23663,268.8019,271.8652
25,263.6865,254.92456,256.74994,269.2295,271.06232
26,262.93066,254.31598,254.62001,268.80914,271.20044
27,261.86795,252.57684,251.47478,268.58575,270.6433
28,260.67706,250.71985,248.66501,268.58252,270.1963
29,259.02692,248.83223,245.64334,267.6067,269.28287
30,257.9663,247.08441,242.36856,266.9951,270.59583
31,256.8132,245.12904,239.42537,266.4256,268.91437
32,255.71762,242.5858,236.06451,265.99902,269.38068
33,252.52466,239.11327,232.54578,265.04736,265.4634
34,248.86047,234.99152,228.51013,262.9455,263.96893
35,244.68042,230.82329,225.98572,263.18597,258.9541
36,240.21907,227.4822,223.10712,261.7687,262.81216
37,237.99472,225.12277,220.91447,260.2448,264.65222
38,236.37386,223.82292,219.54994,259.5518,268.9075
39,238.0481,223.452,220.11769,259.46106,268.35645
40,239.2189,224.11276,219.99457,259.9266,269.64853
41,242.0645,226.46822,221.66731,262.38977,274.68994
42,245.70473,225.84001,225.01509,262.14185,277.39047
43,252.34135,233.47583,235.4378,270.29144,281.40524
44,259.21353,237.1023,239.31033,268.5692,280.11615
45,268.93784,250.238,255.47197,275.4359,282.7504
46,260.40106,263.17444,245.87025,267.09143,268.4151
47,264.92892,262.8248,253.98335,268.21893,260.59116
