,100mse
0,257.00128
1,256.07446
2,256.29587
3,254.79567
4,254.90768
5,256.61368
6,256.6049
7,257.12228
8,257.86325
9,258.90085
10,259.0482
11,258.0118
12,258.84216
13,259.81494
14,259.91608
15,260.3089
16,260.68826
17,260.81912
18,261.09222
19,261.2029
20,260.23257
21,260.99817
22,260.62097
23,259.8903
24,258.23663
25,256.74994
26,254.62001
27,251.47478
28,248.66501
29,245.64334
30,242.36856
31,239.42537
32,236.06451
33,232.54578
34,228.51013
35,225.98572
36,223.10712
37,220.91447
38,219.54994
39,220.11769
40,219.99457
41,221.66731
42,225.01509
43,235.4378
44,239.31033
45,255.47197
46,245.87025
47,253.98335
