,-50diff
0,-2.829834
1,1.8599854
2,5.279114
3,4.6098022
4,3.4246826
5,1.751709
6,0.6047363
7,3.2994385
8,2.5913696
9,-0.122924805
10,1.8707886
11,4.3812256
12,2.9760132
13,1.274353
14,5.6019287
15,2.6227417
16,-1.4995117
17,-0.14031982
18,0.91674805
19,1.2952881
20,-0.004333496
21,0.2388916
22,1.3985596
23,-0.1296997
24,0.050476074
25,0.014465332
26,-1.2874756
27,-0.45324707
28,-1.9581299
29,-3.1748657
30,-2.3621826
31,-1.9921265
32,-2.7564697
33,-6.1070557
34,-3.7227783
35,-2.3535767
36,-5.882324
37,-4.433838
38,-1.5675049
39,0.7496338
40,5.857422
41,4.430481
42,15.803345
43,12.854736
44,10.28894
45,-2.9555664
46,-14.43396
47,4.51001
