,100diff
0,-3.7072754
1,-1.4108276
2,-2.5575867
3,-2.7763672
4,3.6360168
5,3.3944092
6,1.0172119
7,2.5167236
8,3.557129
9,2.369873
10,-1.7780762
11,-0.41204834
12,3.6062622
13,2.1478271
14,0.98791504
15,1.5443726
16,1.0204468
17,0.80792236
18,0.7675781
19,-1.7192993
20,-0.40948486
21,0.77679443
22,-2.2157593
23,-4.7686768
24,-6.2807007
25,-7.233246
26,-10.5503235
27,-11.910004
28,-11.662872
29,-12.5928955
30,-12.435944
31,-12.608093
32,-13.759186
33,-15.108765
34,-13.120117
35,-10.80603
36,-10.142487
37,-7.1143494
38,-1.5935669
39,0.8892517
40,3.0992432
41,10.041046
42,27.540985
43,28.590485
44,40.06833
45,13.119843
46,-2.977234
47,32.452393
